case,full_model_reference_r2,full_model_reference_r1,no_pseudo_label_r2,no_pseudo_label_r1,interpretation
single_cylinder,0.994298,0.989352,0.996090,0.872816,Removing pseudo-label consistency mainly reduces temporal/pointwise extrapolation stability even when field-level R2 remains high.
three_cylinder,0.997653,0.986596,0.982665,0.605235,Removing pseudo-label consistency strongly degrades the harder three-cylinder extrapolation case.
